,foreign_gross,production_budget,net_profit,movie_title,domestic_gross,world_wide_gross_Profit,ROI,genre_ids,id,popularity,release_date,vote_average,vote_count,genres_labels
574,56300000.0,61000000.0,71493015.0,2 Guns,75612460.0,132493015.0,117.20166393442624,"[28, 35, 80]",136400.0,14.8,2013-08-02,6.5,2368.0,"Action, Comedy, Crime"
575,90500000.0,80000000.0,43368842.0,Walking with Dinosaurs,36076121.0,123368842.0,54.2110525,"[16, 10751, 12]",77951.0,10.56,2013-12-20,5.4,210.0,"Animation, Family, Adventure"
577,63800000.0,110000000.0,17983283.0,Ender's Game,61737191.0,127983283.0,16.348439090909093,"[878, 28, 12]",80274.0,15.533,2013-11-01,6.6,3558.0,"Science Fiction, Action, Adventure"
578,61100000.0,46000000.0,67402302.0,Prisoners,61002302.0,113402302.0,146.52674347826087,"[18, 53, 80]",146233.0,14.358,2013-09-21,8.0,5785.0,"Drama, Thriller, Crime"
579,34600000.0,35000000.0,79962525.0,Saving Mr. Banks,83299761.0,114962525.0,228.46435714285715,"[35, 18, 36]",140823.0,9.585,2013-12-20,7.4,2050.0,"Comedy, Drama, History"
580,50600000.0,30000000.0,85121608.0,Warm Bodies,66380662.0,115121608.0,283.73869333333334,"[27, 35, 10749]",82654.0,13.259,2013-02-01,6.3,4109.0,"Horror, Comedy, Romance"
581,54600000.0,55000000.0,55387072.0,Free Birds,55750480.0,110387072.0,100.70376727272728,"[16, 35, 10751]",175574.0,11.062,2013-11-01,5.8,410.0,"Animation, Comedy, Family"
582,59200000.0,60000000.0,44100903.0,Gangster Squad,46000903.0,104100903.0,73.501505,"[80, 18, 28, 53]",82682.0,13.029,2013-01-11,6.3,2527.0,"Crime, Drama, Action, Thriller"
583,62400000.0,12000000.0,86963392.0,Philomena,37709979.0,98963392.0,724.6949333333333,[18],205220.0,8.978,2013-11-27,7.4,945.0,Drama
584,56300000.0,38000000.0,56763758.0,Riddick,42025135.0,94763758.0,149.37831052631577,"[878, 28, 53]",87421.0,17.434,2013-09-06,6.2,2852.0,"Science Fiction, Action, Thriller"
