,foreign_gross,production_budget,net_profit,movie_title,domestic_gross,world_wide_gross_Profit,ROI
439,3200000.0,18000000.0,29158652.0,Soul Surfer,43853424.0,47158652.0,161.9925111111111
442,14500000.0,20000000.0,26604054.0,The Debt,31177548.0,46604054.0,133.02027
443,15300000.0,17000000.0,21028230.0,Beastly,27865571.0,38028230.0,123.6954705882353
448,3500000.0,28000000.0,12966716.0,30 Minutes or Less,37053924.0,40966716.0,46.3097
449,3200000.0,16000000.0,36545707.0,The Roommate,37300107.0,52545707.0,228.41066875
450,21300000.0,25000000.0,-6122847.0,Shark Night 3D,18877153.0,18877153.0,-24.491388
451,16500000.0,20000000.0,19686769.0,Monte Carlo,23186769.0,39686769.0,98.43384499999999
452,4200000.0,8000000.0,33334735.0,50/50,35016118.0,41334735.0,416.6841875
453,17600000.0,150000000.0,-110450242.0,Mars Needs Moms,21392758.0,39549758.0,-73.63349466666666
454,17200000.0,50000000.0,-8357834.0,Dream House,21302340.0,41642166.0,-16.715668
455,415000.0,7000000.0,31158601.0,Jumping the Broom,37295394.0,38158601.0,445.12287142857144
456,12900000.0,25000000.0,14126427.0,Don't Be Afraid of the Dark,24046682.0,39126427.0,56.505708
458,326000.0,20000000.0,16265745.0,A Very Harold & Kumar 3D Christmas,35061031.0,36265745.0,81.328725
459,20500000.0,10000000.0,24240572.0,My Week with Marilyn,14597405.0,34240572.0,242.40572
460,4500000.0,25000000.0,13749404.0,The Sitter,30542576.0,38749404.0,54.99761600000001
462,663663.0,2000000.0,33185884.0,Courageous,34522221.0,35185884.0,1659.2942
466,20900000.0,24000000.0,474463.0,I Don't Know How She Does It,9659074.0,24474463.0,1.9769291666666668
467,16399999.0,20000000.0,10163785.0,What's Your Number?,14011084.0,30163785.0,50.81892500000001
468,18200000.0,50000000.0,-8957417.0,Drive Angry,10721033.0,41042583.0,-17.914834
470,21800000.0,20000000.0,-5192469.0,A Dangerous Method,5702083.0,14807531.0,-25.962345
